”злы-дополнительно
9
13
є;є узла;A0;A1;A2;B0;B1;B2;dPн;dQн;dPг;;;
1;444;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;1,0000;1,0000;0,0000;;;
2;330;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
3;1349;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
4;1347;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
5;1320;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
6;392;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1,0000;;;
7;319;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
8;1319;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;1,0000;1,0000;0,0000;;;
