
Текущий номер цикла: 0
Напряжения в узлах
i    Uмодуль      Uфаза
1 530,0000	0,0000
2 540,0000	-13,6867
3 525,0000	-20,0068
4 500,0000	27,1180
5 525,0000	10,0470
6 525,0000	9,5548
7 525,0000	10,5470
8 525,0000	11,9741
9 242,0000	19,0858
10 242,0000	9,6801
11 510,0000	51,4940
12 525,0000	8,2518
13 520,7292	11,2815
14 518,4972	12,5268
15 242,0000	20,9970
16 232,7250	11,9691
17 521,7435	17,3490
18 518,8722	20,2466
19 500,7801	40,5893
20 501,4231	34,9625
21 513,0267	21,5340
22 511,6582	11,3930
23 523,7967	12,0299
24 525,2908	-18,1147
25 512,3664	-29,4177
26 540,2314	-28,7817
27 512,7164	-23,1376
28 511,4193	-28,0571
29 508,7189	-28,6747
30 504,7032	-30,3492
31 519,8550	-29,2608
32 518,4459	-25,0340
33 530,0264	-27,6093
34 531,7218	-16,0438
35 527,0200	-12,6412
36 536,5244	-24,4976
37 533,0465	-25,9734
38 519,8949	4,4091
39 520,7234	3,6308
40 538,3717	-18,7206
41 536,5949	-6,3773
42 528,9210	-1,9291
43 511,5842	8,1955
44 522,9796	3,5174
45 518,7427	2,0429
46 236,2959	13,5464
47 237,2431	6,7847

Количество итераций: 11

Токи в ветвях схемы
i,j,     Iакт,     Iреакт,    Iмод,    Iфаз
1,35 307,3257	-292,4399	-402,0000	133,0000
1,36 81,2803	-355,5958	-321,0000	172,0000
1,37 36,3710	-276,9828	-240,0000	142,1000
1,38 803,0838	-125,1883	-776,0000	183,0000
1,39 609,3513	266,6340	-637,0000	-187,0000
1,40 240,3007	-398,1796	-432,0000	170,1000
1,41 188,8239	-150,7143	-217,0000	105,2000
1,42 161,8039	-72,6368	-166,0000	61,5000
1,43 73,4723	-510,1451	0,0000	497,5000
1,44 419,4077	-248,9699	-398,0000	270,6000
1,45 208,4971	-112,8936	-200,0000	117,7000
1,46 660,9645	27,9887	-600,0000	275,7000
1,47 362,2427	-134,2006	-320,0000	215,1000

Потери мощности и напряжения в ЛЭП
i,j,     dP,     dQ,    dU
1,2 139,1654	-696,6912	-5,3337
1,3 100,4852	-675,2386	-36,6828
1,4 135,6632	1159,6183	-84,9652
1,5 2,9786	88,0586	-13,0509
1,6 10,7544	402,1718	-12,2832
1,7 3,7660	92,3928	-13,8698
1,8 12,4421	209,4462	-16,4233
1,9 0,0000	76,1420	-7,2171
1,10 0,0000	123,1818	1,0251
1,11 1581,3868	3643,2755	-212,4759
1,12 132,9385	-170,3809	-10,4354
1,13 22,3494	-48,1993	-19,3323
1,14 50,4512	-120,4439	-23,8457
1,15 0,0000	0,0000	0,0000
1,16 0,0000	0,0000	0,0000
1,17 0,0000	221,4944	-23,9687
1,18 57,2382	-112,4731	-43,1878
1,19 78,4350	-770,6363	-149,7111
1,20 19,4713	-344,1543	-119,0703
1,21 18,6376	-47,9037	-52,7826
1,22 60,9013	-127,5185	-28,4238
1,23 38,8070	-59,4111	-17,7065
1,24 0,0029	0,0384	1,7367
1,27 6,4639	66,7676	-36,6060
1,28 0,2423	2,5630	-11,1247
1,29 5,6927	60,2434	-1,4238
1,30 0,0000	71,9124	1,7345
1,31 6,7875	192,4808	-56,4131
1,32 6,4126	157,6643	56,6379
1,33 0,0000	35,9216	-11,1952
1,34 0,0000	31,4373	14,2861
1,35 58,4185	620,4753	-122,0872
1,36 10,5876	169,4016	15,5638
1,37 15,3906	192,3823	30,6408
1,38 27,0838	-57,8117	-11,6437
1,40 7,1105	75,2875	24,3588
1,41 15,4825	189,5270	30,6736
1,42 5,2008	127,9984	17,0224
1,43 73,4723	12,6451	-23,6404
1,44 21,4077	-21,6301	-8,0056
1,45 8,4971	-4,8064	-11,5869
1,46 0,3067	2,9441	0,0258
1,47 9,2254	95,3293	36,3975

Потери мощности в трансформаторах
i,j,     dPTM,     dQTM,    dPTC,    dPQC
1,9 37,4914	5,3405	0,0000	0,0000
1,10 14,0695	7,1436	0,0000	0,0000
1,15 15,0568	-19,7588	0,0000	0,0000
1,16 0,9855	0,1003	0,0000	0,0000
1,17 0,0531	-0,0294	0,0000	0,0000
1,24 2,5414	4,1517	0,0000	0,0000
1,25 0,4001	1,9098	0,0000	0,0000
1,26 0,7190	0,5534	0,0000	0,0000
1,27 0,3599	1,3026	0,0000	0,0000
1,28 0,7616	1,4205	0,0000	0,0000
1,29 0,2244	2,1388	0,0000	0,0000
1,30 -0,2525	1,8694	0,0000	0,0000
1,31 0,4678	0,9681	0,0000	0,0000
1,32 0,4634	2,1206	0,0000	0,0000
1,33 -0,1767	1,6297	0,0000	0,0000
1,34 0,4862	0,7296	0,0000	0,0000
1,35 0,5238	0,6085	0,0000	0,0000
1,36 0,3575	0,5810	0,0000	0,0000
1,37 0,2443	0,4656	0,0000	0,0000
1,39 1,1977	-0,3876	0,0000	0,0000
1,40 0,6029	0,6226	0,0000	0,0000
1,41 0,3561	0,2778	0,0000	0,0000
1,42 0,2911	0,1672	0,0000	0,0000
1,46 1,2500	0,0715	0,0000	0,0000
1,47 0,6570	0,3208	0,0000	0,0000
