Ветви
8
5
№i;№j;№ узла i;№ узла j;Rij;
1;2;444;330;0,10000000;
2;3;330;1349;5,09263420;
2;4;330;1347;1,43654951;
2;5;330;1320;2,54202816;
2;6;330;392;9,85891782;
2;7;330;319;4,19149677;
2;8;330;1319;4,83138131;
