
Текущий номер цикла: 0
Напряжения в узлах
i    Uмодуль      Uфаза
1 530,0000	0,0000
57,58 -0,9689	-0,0668	0,9712	-176,0575
58,59 1,2899	1,0004	1,6324	37,7946
58,61 2,1413	2,3733	3,1965	47,9419
59,60 0,1782	0,0745	0,1932	22,6940
59,63 0,0561	0,0162	0,0584	16,0731
60,63 -0,0546	-0,0181	0,0575	-161,6381
61,62 -0,1498	-0,6688	0,6854	-102,6220

Перетоки мощности в ветвях схемы
i,j,     Pi,     Qi,    Pj,    Qj
1,16 4575,7807	-5501,0789	4575,7807	-3678,3791
2,34 2992,0292	-9040,7509	2992,0292	-6770,4555
3,42 1745,1880	-1007,8948	1745,1880	-828,1190
4,28 993,2708	8141,2828	993,2708	10939,5930
5,53 469,4786	1769,2633	469,4786	2512,0404
6,51 2293,6533	9791,4185	2293,6533	13534,0171
7,52 470,4779	1778,1870	470,4779	2528,1898
8,58 990,8395	5193,4223	990,8395	6988,5248
9,61 1352,8798	-7436,1728	1352,8798	-6541,6317
10,62 520,1238	-9249,8770	520,1238	-7555,2569
11,25 186,5019	4357,8337	186,5019	4921,0645
12,31 -1148,9398	2369,5758	-1148,9398	2797,3098
13,48 0,0000	9,7065	0,0000	9,7173
14,49 0,0000	-0,9290	0,0000	-0,9289
15,55 0,0000	0,0075	0,0000	0,0075
16,34 1827,7324	-841,7670	1827,7324	657,0923
16,37 1662,3381	-1630,0418	1513,2884	362,0645
17,18 -18,7479	-1417,6030	-26,8187	-1316,0672
17,32 -211,9675	822,7579	-214,8661	859,2238
18,23 -419,9483	751,2019	-425,9577	827,6548
18,28 -501,9734	-1769,1814	-529,9214	-1413,4787
18,30 241,2740	-321,9731	240,7146	-315,8924
18,31 155,0007	-2029,6559	115,1562	-1499,8486
19,21 -262,7104	2117,6815	-262,7104	2162,9133
19,22 50,4307	-3621,5820	50,4307	-3228,4609
19,24 -413,8795	-844,3865	-421,9275	-761,2566
19,32 127,9797	-562,1579	126,0613	-541,8668
19,59 543,0561	292,2563	538,7082	338,2673
20,22 431,6009	1804,2860	431,6009	3014,9201
21,29 -1437,9152	-8168,4041	-1502,8134	-6328,0064
21,33 1353,4483	2836,2066	1344,7570	3049,8975
23,24 -818,7779	-181,7570	-818,7779	-164,1393
23,32 371,6762	388,4585	371,6762	416,3015
24,25 -59,6390	-3811,9755	-183,9249	-2491,9085
25,26 -75,5113	1208,1808	-76,8373	1229,3963
26,27 -109,6954	1371,1926	-115,2073	1440,0914
27,28 225,3228	812,4152	217,8143	891,2542
28,29 1394,2257	8864,6357	1394,2257	9897,9644
28,30 369,3566	855,5625	349,6042	1064,7058
28,31 1037,7889	-1213,7226	1021,2976	-1011,8465
33,54 1299,6080	-6373,3602	1267,8347	-5591,3817
34,35 731,7075	-2414,7243	482,3725	-15,3263
34,39 484,5874	-1993,5446	341,2424	-201,7316
35,36 -331,7540	146,4784	-486,8231	1962,4190
35,39 -141,7552	-44,5782	-148,6069	21,1975
36,55 -1021,2825	1139,3249	-1126,4424	2225,9776
37,38 84,0323	-845,2334	24,2419	-4,7500
37,40 281,6700	565,2771	240,1144	1026,1668
38,39 -32,0873	27,2236	-61,8295	399,0002
38,43 -201,7541	-89,1909	-201,7541	5138,5985
39,42 -258,4636	718,0015	-556,8217	4702,0122
40,41 -1732,7127	855,7788	-1824,0144	1848,1883
40,42 429,4644	168,2616	424,9417	220,1829
41,44 -1208,4490	-998,2255	-1266,3038	-936,8995
42,50 -3218,3802	318,1550	-3386,8999	2251,1753
43,45 2649,0338	3697,3434	2246,1252	12561,3319
44,49 -198,3461	1309,0698	-233,0886	1636,0579
44,50 440,3865	-2180,1452	432,3123	-2105,1710
45,46 -1066,4830	6136,7063	-1169,2002	8579,8402
45,50 3113,0129	2275,4505	3113,0129	2648,8728
46,47 1623,1017	-455,8979	1623,1017	-382,0265
46,54 -2587,8848	2043,0451	-2605,9786	2483,5599
47,55 807,0140	-1393,4893	785,4596	-1197,1905
48,49 379,8901	-83,2757	377,3785	-59,2520
48,51 -941,8893	-1311,1190	-972,3711	-993,5065
51,52 98,9301	2714,4584	93,1833	2780,5464
51,53 535,9143	2587,7194	530,4749	2650,2731
51,56 556,0234	511,6693	544,1269	638,4164
51,58 -290,0421	-318,7976	-290,1578	-305,7759
51,62 -479,6397	5922,7874	-479,6397	7957,9767
52,54 697,2693	5019,8128	697,2693	5751,6757
53,54 546,6681	5064,8538	546,6681	5806,4302
55,56 -683,8694	476,5002	-695,3469	584,7540
56,57 -582,8788	-283,3103	-585,5733	-255,9679
57,58 -729,5532	-1099,6031	-748,2288	-911,1500
58,59 191,3260	1972,4171	104,1910	2766,2251
58,61 -311,6729	3867,9042	-311,6729	5746,8926
59,60 97,1743	312,8040	96,6930	317,9526
59,63 40,1062	90,5963	40,1062	91,2855
60,63 -35,8706	-92,2543	-35,8706	-91,3924
61,62 305,8813	-479,3916	294,6071	-435,7042

Потери мощности и напряжения в ЛЭП
i,j,     dP,     dQ,    dU
1,16 0,0000	1822,6998	-103,7939
2,34 0,0000	2270,2954	-109,0412
3,42 0,0000	179,7758	-42,7693
4,28 0,0000	2798,3102	116,4409
5,53 0,0000	742,7771	110,2444
6,51 0,0000	3742,5987	105,0180
7,52 0,0000	750,0028	111,6037
8,58 0,0000	1795,1026	102,9156
9,61 0,0000	894,5411	-53,5054
10,62 0,0000	1694,6201	-72,8022
11,25 0,0000	563,2308	48,8085
12,31 0,0000	427,7340	77,7957
