”злы-дополнительно
7
13
є;є узла;A0;A1;A2;B0;B1;B2;dPн;dQн;dPг;;;
1;;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
2;;1,0000;0,0000;0,0000;1,0001;0,0000;0,0000;0,0000;0,0000;0,0000;;;
3;;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;5,0000;;;
4;;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
5;;1,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
6;;1,0000;0,0000;0,0000;1,0001;0,0000;0,0000;0,0000;0,0000;0,0000;;;
