Ветви
8
5
№i;№j;№ узла i;№ узла j;Rij;
1;2;444;330;0,10000000;
2;3;330;1349;5,17983967;
2;4;330;1347;1,47758565;
2;5;330;1320;3,08556314;
2;6;330;392;11,02483893;
2;7;330;319;4,41337298;
2;8;330;1319;0,16085930;
